Data Description:
,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
count,1492.0,1229.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1229.0,1280.0,1319.0,1360.0,1361.0,1361.0,1361.0,1361.0,1361.0,1319.0,536.0,532.0,533.0,498.0
mean,2004.4336461126006,915930.820992677,9092081.85859375,766372.3359375,4216552.94765625,4109156.56875,9196680.86875,4762966.37421875,2680330.67578125,429204.6167615948,902769.29453125,17601.614101592117,63746.76102941176,64538.92725936811,64271.05731080088,54268.92432035268,519214.03600293904,247071.35194709772,802441.5125094769,234.76829289706959,278.4147114511402,218.8661539741663,263.66113199437666
std,7.393982678901836,1065280.4240008178,11745187.39750724,1145241.5879188366,5543071.995647953,5482970.607875315,11978126.895704186,6293003.724990936,3353348.5591162215,534069.3186933647,1327561.8152063373,30016.16644696505,80205.13814281001,80293.38762519155,78910.54577607226,67889.27623023825,643638.4262309681,307705.62911751104,970703.0749573637,10.221510625664289,10.159722018528429,7.769616426232636,6.803725024986959
min,1992.0,43866.0,465650.0,31020.0,0.0,22093.0,481665.0,265549.0,139963.0,11541.0,12708.0,0.0,544.0,633.0,437.0,311.0,4878.0,1808.0,7254.0,187.134669958413,232.831509532896,178.557611651728,236.37910176331403
25%,1998.0,258314.0,2186305.25,189354.0,1153097.25,715834.5,2165404.5,1168032.0,635790.0,102831.0,181564.5,2021.0,11745.0,13739.0,13342.0,10919.0,110626.0,51471.0,181065.0,229.69435241263625,272.7615982902783,214.663401291545,259.5331712108278
50%,2004.0,648313.0,5079546.0,403376.5,2537073.5,2055780.5,5234505.5,2657452.0,1525405.5,271596.0,510259.5,8106.0,41597.5,43272.0,43339.0,36735.0,345775.0,164260.0,550342.0,237.23855244445502,280.6188034905995,220.41603448313703,265.01091228450105
75%,2011.0,1014528.0,10859847.75,828966.0,5080939.25,4768680.0,10745191.0,5568028.0,3229650.75,518600.0,966851.5,22295.0,73865.25,75481.0,76566.0,67460.0,611905.0,290502.0,928275.5,241.9954861630315,285.347428094796,223.999336825378,268.190120654764
max,2017.0,6307022.0,89217262.0,9990221.0,50904567.0,36105265.0,85320133.0,43964520.0,26058021.0,3995951.0,10223657.0,250911.0,530531.0,493415.0,500143.0,498403.0,3929869.0,2013687.0,5944746.0,253.420961133202,300.568235011147,236.773866580369,280.499129965249

Null Counts
PRIMARY_KEY: 0
STATE: 0
YEAR: 0
ENROLL: 263
TOTAL_REVENUE: 212
FEDERAL_REVENUE: 212
STATE_REVENUE: 212
LOCAL_REVENUE: 212
TOTAL_EXPENDITURE: 212
INSTRUCTION_EXPENDITURE: 212
SUPPORT_SERVICES_EXPENDITURE: 212
OTHER_EXPENDITURE: 263
CAPITAL_OUTLAY_EXPENDITURE: 212
GRADES_PK_G: 173
GRADES_KG_G: 132
GRADES_4_G: 131
GRADES_8_G: 131
GRADES_12_G: 131
GRADES_1_8_G: 131
GRADES_9_12_G: 131
GRADES_ALL_G: 173
AVG_MATH_4_SCORE: 956
AVG_MATH_8_SCORE: 960
AVG_READING_4_SCORE: 959
AVG_READING_8_SCORE: 994

Nulls in Total Revenue
,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1415,1992_AMERICAN_SAMOA,AMERICAN_SAMOA,1992,,,,,,,,,,,1462.0,1151.0,981.0,886.0,748.0,7969.0,3355.0,12786.0,,,,
1416,1992_COMMONWEALTH_OF_MARIANAS,COMMONWEALTH_OF_MARIANAS,1992,,,,,,,,,,,423.0,677.0,661.0,437.0,311.0,4878.0,1953.0,7254.0,,,,
1417,1992_GUAM,GUAM,1992,,,,,,,,,,,657.0,2697.0,2392.0,2061.0,1115.0,19072.0,7631.0,27360.0,,,,
1418,1992_PUERTO_RICO,PUERTO_RICO,1992,,,,,,,,,,,89.0,37806.0,52944.0,50913.0,32344.0,423308.0,163573.0,586970.0,,,,
1419,1992_VIRGIN_ISLANDS,VIRGIN_ISLANDS,1992,,,,,,,,,,,,1680.0,1878.0,1549.0,1117.0,14422.0,5590.0,,,,,
1398,1993_VIRGIN_ISLANDS,VIRGIN_ISLANDS,1993,,,,,,,,,,,,1624.0,1755.0,1568.0,1097.0,14312.0,5508.0,,,,,
1394,1993_AMERICAN_SAMOA,AMERICAN_SAMOA,1993,,,,,,,,,,,1663.0,1056.0,1056.0,873.0,809.0,8255.0,3451.0,13369.0,,,,
1395,1993_GUAM,GUAM,1993,,,,,,,,,,,486.0,2866.0,2517.0,2085.0,1154.0,19799.0,7752.0,28037.0,,,,
1396,1993_NORTHERN_MARIANAS,NORTHERN_MARIANAS,1993,,,,,,,,,,,421.0,656.0,633.0,610.0,384.0,5303.0,1808.0,7532.0,,,,
1397,1993_PUERTO_RICO,PUERTO_RICO,1993,,,,,,,,,,,281.0,38305.0,51411.0,50711.0,32610.0,416767.0,163511.0,580559.0,,,,
1362,1994_VIRGIN_ISLANDS,VIRGIN_ISLANDS,1994,,,,,,,,,,,,1487.0,1745.0,1585.0,1140.0,14329.0,5838.0,,,,,
1361,1994_PUERTO_RICO,PUERTO_RICO,1994,,,,,,,,,,,143.0,39962.0,50311.0,49774.0,32935.0,405858.0,161203.0,567204.0,,,,
1360,1994_MARIANAS,MARIANAS,1994,,,,,,,,,,,510.0,556.0,681.0,550.0,406.0,5493.0,1870.0,7873.0,,,,
1359,1994_GUAM,GUAM,1994,,,,,,,,,,,465.0,2931.0,2587.0,2275.0,1262.0,20791.0,7989.0,29245.0,,,,
1358,1994_AMERICAN_SAMOA,AMERICAN_SAMOA,1994,,,,,,,,,,,1570.0,1126.0,1071.0,903.0,746.0,8358.0,3329.0,13257.0,,,,
1333,1995_NORTHERN_MARIANAS,NORTHERN_MARIANAS,1995,,,,,,,,,,,560.0,598.0,683.0,596.0,467.0,5667.0,1984.0,8211.0,,,,
1334,1995_PUERTO_RICO,PUERTO_RICO,1995,,,,,,,,,,,255.0,44566.0,49762.0,48934.0,32535.0,402767.0,161331.0,564353.0,,,,
1335,1995_VIRGIN_ISLANDS,VIRGIN_ISLANDS,1995,,,,,,,,,,,,1638.0,1655.0,1607.0,1102.0,13854.0,5756.0,,,,,
1331,1995_AMERICAN_SAMOA,AMERICAN_SAMOA,1995,,,,,,,,,,,1458.0,1162.0,1089.0,951.0,756.0,8587.0,3304.0,13349.0,,,,
1332,1995_GUAM,GUAM,1995,,,,,,,,,,,962.0,2961.0,2722.0,2368.0,1433.0,20954.0,8083.0,29999.0,,,,
1424,1996_PUERTO_RICO,PUERTO_RICO,1996,,,,,,,,,,,373.0,42399.0,49998.0,47449.0,32361.0,401737.0,160499.0,562609.0,,,,
1423,1996_GUAM,GUAM,1996,,,,,,,,,,,453.0,3022.0,2762.0,2370.0,1258.0,21734.0,8176.0,30363.0,,,,
1422,1996_DOD,DOD,1996,,,,,,,,,,,1449.0,7804.0,7249.0,5306.0,2860.0,56212.0,15250.0,72911.0,,,,
1421,1996_COMMONWEALTH_OF_MARIANAS,COMMONWEALTH_OF_MARIANAS,1996,,,,,,,,,,,590.0,692.0,784.0,580.0,363.0,5795.0,1964.0,8349.0,,,,
1420,1996_AMERICAN_SAMOA,AMERICAN_SAMOA,1996,,,,,,,,,,,1494.0,1136.0,1174.0,912.0,739.0,8716.0,3350.0,13560.0,,,,
1425,1996_VIRGIN_ISLANDS,VIRGIN_ISLANDS,1996,,,,,,,,,,,,1626.0,1691.0,1517.0,1063.0,13368.0,6098.0,,,,,
