PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,GRADES_PK_AM,GRADES_KG_AM,GRADES_4_AM,GRADES_8_AM,GRADES_12_AM,GRADES_1_8_AM,GRADES_9_12_AM,GRADES_ALL_AM,GRADES_PK_AS,GRADES_KG_AS,GRADES_4_AS,GRADES_8_AS,GRADES_12_AS,GRADES_1_8_AS,GRADES_9_12_AS,GRADES_ALL_AS,GRADES_PK_HI,GRADES_KG_HI,GRADES_4_HI,GRADES_8_HI,GRADES_12_HI,GRADES_1_8_HI,GRADES_9_12_HI,GRADES_ALL_HI,GRADES_PK_BL,GRADES_KG_BL,GRADES_4_BL,GRADES_8_BL,GRADES_12_BL,GRADES_1_8_BL,GRADES_9_12_BL,GRADES_ALL_BL,GRADES_PK_WH,GRADES_KG_WH,GRADES_4_WH,GRADES_8_WH,GRADES_12_WH,GRADES_1_8_WH,GRADES_9_12_WH,GRADES_ALL_WH,GRADES_PK_HP,GRADES_KG_HP,GRADES_4_HP,GRADES_8_HP,GRADES_12_HP,GRADES_1_8_HP,GRADES_9_12_HP,GRADES_ALL_HP,GRADES_PK_TR,GRADES_KG_TR,GRADES_4_TR,GRADES_8_TR,GRADES_12_TR,GRADES_1_8_TR,GRADES_9_12_TR,GRADES_ALL_TR,GRADES_PK_AMM,GRADES_KG_AMM,GRADES_4_AMM,GRADES_8_AMM,GRADES_12_AMM,GRADES_1_8_AMM,GRADES_9_12_AMM,GRADES_ALL_AMM,GRADES_PK_AMF,GRADES_KG_AMF,GRADES_4_AMF,GRADES_8_AMF,GRADES_12_AMF,GRADES_1_8_AMF,GRADES_9_12_AMF,GRADES_ALL_AMF,GRADES_PK_ASM,GRADES_KG_ASM,GRADES_4_ASM,GRADES_8_ASM,GRADES_12_ASM,GRADES_1_8_ASM,GRADES_9_12_ASM,GRADES_ALL_ASM,GRADES_PK_ASF,GRADES_KG_ASF,GRADES_4_ASF,GRADES_8_ASF,GRADES_12_ASF,GRADES_1_8_ASF,GRADES_9_12_ASF,GRADES_ALL_ASF,GRADES_PK_HIM,GRADES_KG_HIM,GRADES_4_HIM,GRADES_8_HIM,GRADES_12_HIM,GRADES_1_8_HIM,GRADES_9_12_HIM,GRADES_ALL_HIM,GRADES_PK_HIF,GRADES_KG_HIF,GRADES_4_HIF,GRADES_8_HIF,GRADES_12_HIF,GRADES_1_8_HIF,GRADES_9_12_HIF,GRADES_ALL_HIF,GRADES_PK_BLM,GRADES_KG_BLM,GRADES_4_BLM,GRADES_8_BLM,GRADES_12_BLM,GRADES_1_8_BLM,GRADES_9_12_BLM,GRADES_ALL_BLM,GRADES_PK_BLF,GRADES_KG_BLF,GRADES_4_BLF,GRADES_8_BLF,GRADES_12_BLF,GRADES_1_8_BLF,GRADES_9_12_BLF,GRADES_ALL_BLF,GRADES_PK_WHM,GRADES_KG_WHM,GRADES_4_WHM,GRADES_8_WHM,GRADES_12_WHM,GRADES_1_8_WHM,GRADES_9_12_WHM,GRADES_ALL_WHM,GRADES_PK_WHF,GRADES_KG_WHF,GRADES_4_WHF,GRADES_8_WHF,GRADES_12_WHF,GRADES_1_8_WHF,GRADES_9_12_WHF,GRADES_ALL_WHF,GRADES_PK_HPM,GRADES_KG_HPM,GRADES_4_HPM,GRADES_8_HPM,GRADES_12_HPM,GRADES_1_8_HPM,GRADES_9_12_HPM,GRADES_ALL_HPM,GRADES_PK_HPF,GRADES_KG_HPF,GRADES_4_HPF,GRADES_8_HPF,GRADES_12_HPF,GRADES_1_8_HPF,GRADES_9_12_HPF,GRADES_ALL_HPF,GRADES_PK_TRM,GRADES_KG_TRM,GRADES_4_TRM,GRADES_8_TRM,GRADES_12_TRM,GRADES_1_8_TRM,GRADES_9_12_TRM,GRADES_ALL_TRM,GRADES_PK_TRF,GRADES_KG_TRF,GRADES_4_TRF,GRADES_8_TRF,GRADES_12_TRF,GRADES_1_8_TRF,GRADES_9_12_TRF,GRADES_ALL_TRF,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1992_ALABAMA,ALABAMA,1992,,2678885.0,304177.0,1659028.0,715680.0,2653798.0,1481703.0,735036.0,,174053.0,8224.0,55460.0,57948.0,58025.0,41167.0,471564.0,196386.0,676174.0,,172.0,460.0,625.0,446.0,3930.0,2069.0,,,307.0,346.0,306.0,249.0,2651.0,1156.0,,,220.0,173.0,164.0,127.0,1420.0,601.0,,,19665.0,20517.0,20816.0,13175.0,169632.0,67868.0,,,35096.0,36452.0,35854.0,27167.0,293586.0,124500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.327875923738,252.18752241295,207.963517196451,
1992_ALASKA,ALASKA,1992,,1049591.0,106780.0,720711.0,222100.0,972488.0,498362.0,350902.0,,37451.0,2371.0,10152.0,9748.0,8789.0,6714.0,79117.0,30847.0,112335.0,1457.0,2624.0,2175.0,1853.0,1323.0,17664.0,6391.0,25512.0,55.0,395.0,389.0,367.0,324.0,3090.0,1350.0,4495.0,26.0,229.0,204.0,182.0,159.0,1816.0,704.0,2546.0,60.0,481.0,449.0,422.0,287.0,3826.0,1388.0,5274.0,773.0,6423.0,6531.0,5965.0,4621.0,52721.0,21014.0,74508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.859712454914
1992_ARIZONA,ARIZONA,1992,,3258079.0,297888.0,1369815.0,1590376.0,3401580.0,1435908.0,1007732.0,,609114.0,2544.0,53497.0,55433.0,49081.0,37410.0,437127.0,175210.0,614881.0,250.0,3674.0,3946.0,3230.0,2234.0,30133.0,10686.0,41069.0,20.0,754.0,822.0,734.0,823.0,6446.0,3340.0,9806.0,718.0,15501.0,14877.0,12964.0,8893.0,117781.0,45310.0,163809.0,85.0,2275.0,2173.0,1888.0,1524.0,17696.0,6885.0,24666.0,1471.0,31293.0,33615.0,30265.0,23936.0,265071.0,108989.0,375531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.2539320246,265.366277794427,206.212715526558,262.169894656696
1992_ARKANSAS,ARKANSAS,1992,,1711959.0,178571.0,958785.0,574603.0,1743022.0,964323.0,483488.0,,145212.0,808.0,33511.0,34632.0,36011.0,27651.0,281338.0,123113.0,405259.0,2.0,84.0,84.0,146.0,67.0,828.0,382.0,1212.0,7.0,199.0,214.0,216.0,224.0,1792.0,902.0,2701.0,11.0,370.0,278.0,233.0,168.0,2121.0,732.0,2864.0,414.0,7945.0,8289.0,8828.0,6184.0,67864.0,28209.0,96487.0,374.0,24913.0,25767.0,26588.0,21008.0,208733.0,92888.0,301995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.20602809793,256.312090419091,208.634458392674,264.619664664416
1992_CALIFORNIA,CALIFORNIA,1992,,26260025.0,2072470.0,16546514.0,7641041.0,27138832.0,14358922.0,8520926.0,,2044688.0,59067.0,431763.0,418418.0,363296.0,270675.0,3286034.0,1372011.0,4717112.0,,2954.0,3079.0,2912.0,2434.0,24697.0,12820.0,,,41763.0,46079.0,40852.0,39036.0,356001.0,169604.0,,,170998.0,152087.0,124766.0,80124.0,1195716.0,470043.0,,,36202.0,34940.0,32319.0,19921.0,281408.0,115099.0,,,179846.0,182233.0,162447.0,129160.0,1428212.0,604445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.398960917183,260.89224682207004,196.764414122393,
1992_COLORADO,COLORADO,1992,,3185173.0,163253.0,1307986.0,1713934.0,3264826.0,1642466.0,1035970.0,,364760.0,7410.0,47588.0,50648.0,45025.0,34533.0,394904.0,160299.0,562613.0,107.0,518.0,486.0,408.0,281.0,3823.0,1362.0,5292.0,184.0,1014.0,1134.0,969.0,1020.0,9026.0,4252.0,13462.0,2224.0,8495.0,8500.0,7395.0,4614.0,66349.0,25139.0,93712.0,854.0,2721.0,2727.0,2361.0,1532.0,21153.0,8160.0,30167.0,4041.0,34840.0,37801.0,33892.0,27086.0,294553.0,121386.0,419980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.023429078871,272.398432913929,213.48089032546397,266.41968692282995
1992_CONNECTICUT,CONNECTICUT,1992,,3834302.0,143542.0,1342539.0,2348221.0,3721338.0,2148041.0,1142600.0,,48542.0,5731.0,41319.0,38058.0,33691.0,28366.0,304284.0,126917.0,436932.0,5.0,54.0,54.0,95.0,78.0,623.0,430.0,1058.0,123.0,879.0,902.0,764.0,703.0,7010.0,3074.0,10207.0,1171.0,4656.0,3927.0,3454.0,1975.0,32608.0,11832.0,45611.0,1306.0,5088.0,4794.0,4300.0,2991.0,38460.0,15597.0,55363.0,3126.0,30642.0,28381.0,25078.0,22619.0,225583.0,95984.0,324693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.79848003762402,273.739344572132,222.417598625519,264.713904329936
1992_DELAWARE,DELAWARE,1992,,645233.0,45945.0,420942.0,178346.0,638784.0,372722.0,194915.0,,30595.0,463.0,8025.0,8272.0,8012.0,6129.0,67495.0,28338.0,96296.0,1.0,62.0,14.0,18.0,11.0,113.0,53.0,167.0,1.0,126.0,135.0,115.0,132.0,1079.0,520.0,1600.0,23.0,273.0,298.0,265.0,182.0,2179.0,856.0,3058.0,175.0,2290.0,2467.0,2215.0,1401.0,19320.0,7536.0,27031.0,263.0,5274.0,5358.0,5399.0,4403.0,44804.0,19373.0,64440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.899972448292,262.868585398892,206.38905171429198,261.57792090563
1992_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1992,,709480.0,64749.0,0.0,644731.0,742893.0,329160.0,316679.0,,47272.0,4818.0,6667.0,5832.0,5000.0,3433.0,47009.0,18173.0,70000.0,1.0,2.0,1.0,0.0,1.0,8.0,5.0,14.0,49.0,88.0,91.0,57.0,52.0,549.0,315.0,913.0,281.0,428.0,319.0,241.0,186.0,2524.0,1138.0,3943.0,4246.0,5756.0,5154.0,4575.0,3102.0,41931.0,16302.0,62479.0,241.0,393.0,267.0,127.0,92.0,1997.0,413.0,2651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.60055314202802,234.924621328025,178.557611651728,265.976765009526
1992_FLORIDA,FLORIDA,1992,,11506299.0,788420.0,5683949.0,5033930.0,11305642.0,5166374.0,3410440.0,,1667826.0,31464.0,161701.0,164416.0,142372.0,100835.0,1276685.0,511557.0,1819706.0,48.0,323.0,276.0,296.0,175.0,2199.0,954.0,3201.0,281.0,2182.0,2555.0,2396.0,2398.0,19626.0,10420.0,30327.0,4537.0,20845.0,22069.0,19037.0,13977.0,166926.0,71736.0,243199.0,13667.0,40274.0,40539.0,33956.0,21367.0,312537.0,118312.0,444516.0,12931.0,98077.0,98977.0,86687.0,62918.0,775397.0,310135.0,1098463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.68975116346803,259.90884818230097,204.882606345676,262.118986062654
